2018-05-01,257.48992919921875
2018-05-02,255.76023864746094
2018-05-03,255.1965789794922
2018-05-04,258.5005187988281
2018-05-07,259.3750915527344
2018-05-08,259.3750915527344
2018-05-09,261.88214111328125
2018-05-10,264.33087158203125
2018-05-11,265.13739013671875
2018-05-14,265.2637634277344
2018-05-15,263.4368896484375
2018-05-16,264.5446472167969
2018-05-17,264.3211975097656
2018-05-18,263.6604309082031
2018-05-21,265.6427307128906
2018-05-22,264.9041748046875
2018-05-23,265.63299560546875
2018-05-24,265.0888671875
2018-05-25,264.4572448730469
2018-05-29,261.4156494140625
2018-05-30,264.9041748046875
2018-05-31,263.2814025878906
2018-06-01,265.86627197265625
